"drug_name","drugid","ind_name","ind_id","NCT","status","phase","DetailedStatus"
"emtricitabine","DB00879","HIV Infections","C0019693",NA,"Approved",NA,NA
"enalapril","DB00584","Asymptomatic left ventricular systolic dysfunction","C3698411",NA,"Approved",NA,NA
"enalapril","DB00584","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"enalapril","DB00584","Congestive heart failure","C0018802",NA,"Approved",NA,NA
"enalapril","DB09477","Asymptomatic left ventricular systolic dysfunction","C3698411",NA,"Approved",NA,NA
"enalapril","DB09477","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"enalapril","DB09477","Congestive heart failure","C0018802",NA,"Approved",NA,NA
"enalaprilat","DB09477","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"enalaprilat","DB09477","Congestive heart failure","C0018802",NA,"Approved",NA,NA
"enalaprilat","DB09477","Asymptomatic left ventricular systolic dysfunction","C3698411",NA,"Approved",NA,NA
"encainide","DB01228","Premature ventricular contractions","C0151636",NA,"Approved",NA,NA
"endralazine","DB13435","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"enfuvirtide","DB00109","HIV Infections","C0019693",NA,"Approved",NA,NA
"enoxacin","DB00467","Acute gonococcal cervicitis","C0153195",NA,"Approved",NA,NA
"enoxacin","DB00467","Gonorrhea","C0018081",NA,"Approved",NA,NA
"enoxacin","DB00467","Acute gonococcal urethritis","C0275652",NA,"Approved",NA,NA
"enoxacin","DB00467","Gonorrhea of rectum","C0275665",NA,"Approved",NA,NA
"enoxacin","DB00467","Gonorrhea of pharynx","C0149966",NA,"Approved",NA,NA
"enoxacin","DB00467","Urinary tract infection","C0042029",NA,"Approved",NA,NA
"entacapone","DB00494","Parkinson Disease","C0030567",NA,"Approved",NA,NA
"entecavir","DB00442","Hepatitis B, Chronic","C0524909",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute bacterial bronchitis","C0339933",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Female genital tract infection","C1263758",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Postoperative infection","C0392618",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Urinary tract infection","C0042029",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Abdominal Infection","C1112209",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Haemophilus influenzae pneumonia","C0276026",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Pneumonia due to Pseudomonas","C0155860",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Streptococcal pneumonia","C0155862",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute Moraxella catarrhalis bronchitis","C0339932",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Mycoplasma pneumonia","C0032302",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute gonococcal cervicitis","C0153195",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Gonorrhea of rectum","C0275665",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute gonococcal urethritis","C0275652",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Staphylococcal Pneumonia","C0032308",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute gonococcal endometritis","C0153196",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Bacterial infection due to Klebsiella pneumoniae","C0343402",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute bacterial sinusitis","C0275556",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Pneumonia due to Escherichia coli","C0276089",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Chlamydial pneumonia","C0339959",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Chlamydial pelvic inflammatory disease","C0520777",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Acute bacterial bronchitis","C0339933",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Female genital tract infection","C1263758",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Postoperative infection","C0392618",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Urinary tract infection","C0042029",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Abdominal Infection","C1112209",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Haemophilus influenzae pneumonia","C0276026",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Pneumonia due to Pseudomonas","C0155860",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Streptococcal pneumonia","C0155862",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Acute Moraxella catarrhalis bronchitis","C0339932",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Mycoplasma pneumonia","C0032302",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Acute gonococcal cervicitis","C0153195",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Gonorrhea of rectum","C0275665",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Acute gonococcal urethritis","C0275652",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Staphylococcal Pneumonia","C0032308",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Acute gonococcal endometritis","C0153196",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Bacterial infection due to Klebsiella pneumoniae","C0343402",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Acute bacterial sinusitis","C0275556",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Pneumonia due to Escherichia coli","C0276089",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Chlamydial pneumonia","C0339959",NA,"Approved",NA,NA
"alatrofloxacin","DB00685","Chlamydial pelvic inflammatory disease","C0520777",NA,"Approved",NA,NA
"epalrestat","DB15293","Diabetic Neuropathies","C0011882",NA,"Approved",NA,NA
"eperisone","DB08992","Spasm","C0037763",NA,"Approved",NA,NA
"ephedrine","DB01364","Sinus headache","C0037195",NA,"Approved",NA,NA
"ephedrine","DB01364","Bronchitis","C0006277",NA,"Approved",NA,NA
"ephedrine","DB01364","Headache Disorders","C0393735",NA,"Approved",NA,NA
"ephedrine","DB01364","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"ephedrine","DB01364","Rhinorrhea","C1260880",NA,"Approved",NA,NA
"ephedrine","DB01364","Influenza-like symptoms","C0392171",NA,"Approved",NA,NA
"ephedrine","DB01364","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"ephedrine","DB01364","Hay fever","C0018621",NA,"Approved",NA,NA
"ephedrine","DB01364","Bronchospasm","C0006266",NA,"Approved",NA,NA
"ephedrine","DB01364","Rhinitis, Vasomotor","C0035460",NA,"Approved",NA,NA
"ephedrine","DB01364","Rhinitis","C0035455",NA,"Approved",NA,NA
"ephedrine","DB01364","Nasal congestion (finding)","C0027424",NA,"Approved",NA,NA
"ephedrine","DB01364","Sneezing","C0037383",NA,"Approved",NA,NA
"ephedrine","DB01364","Common Cold","C0009443",NA,"Approved",NA,NA
"epinastine","DB00751","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"epinephrine","DB00668","anaphylaxis","C0002792",NA,"Approved",NA,NA
"epinephrine","DB00668","Hypotension","C0020649",NA,"Approved",NA,NA
"epinephrine","DB00668","Bronchiectasis","C0006267",NA,"Approved",NA,NA
"epinephrine","DB00668","Asthma attack","C0347950",NA,"Approved",NA,NA
"epinephrine","DB00668","Glaucoma, Open-Angle","C0017612",NA,"Approved",NA,NA
"epinephrine","DB00668","Dyspnea","C0013404",NA,"Approved",NA,NA
"epinephrine","DB00668","Bronchitis","C0006277",NA,"Approved",NA,NA
"epinephrine","DB00668","Wheezing","C0043144",NA,"Approved",NA,NA
"epinephrine","DB00668","Exacerbation of asthma","C0349790",NA,"Approved",NA,NA
"epinephrine","DB00668","Pulmonary Emphysema","C0034067",NA,"Approved",NA,NA
"albendazole","DB00518","Echinococcus granulosus infection of liver","C0153289",NA,"Approved",NA,NA
"albendazole","DB00518","Echinococcus granulosus infection of lung","C0153290",NA,"Approved",NA,NA
"albendazole","DB00518","Neurocysticercosis","C0338437",NA,"Approved",NA,NA
"albendazole","DB00518","Echinococcus granulosus infection","C0152068",NA,"Approved",NA,NA
"epirubicin","DB00445","Breast Carcinoma","C0678222",NA,"Approved",NA,NA
"epitizide","DB13989","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"eplerenone","DB00700","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"epoprostenol","DB01240","Pulmonary arterial hypertension","C2973725",NA,"Approved",NA,NA
"epoprostenol","DB01240","Pulmonary Hypertension","C0020542",NA,"Approved",NA,NA
"epoprostenol","DB01240","Rhinorrhea","C1260880",NA,"Approved",NA,NA
"epoprostenol","DB01240","Coughing","C0010200",NA,"Approved",NA,NA
"epoprostenol","DB01240","Nasal congestion (finding)","C0027424",NA,"Approved",NA,NA
"epoprostenol","DB01240","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"epoprostenol","DB01240","Rhinitis","C0035455",NA,"Approved",NA,NA
"epoprostenol","DB01240","Common Cold","C0009443",NA,"Approved",NA,NA
"eprosartan","DB00876","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"eptifibatide","DB00063","Acute Coronary Syndrome","C0948089",NA,"Approved",NA,NA
"erdosteine","DB05057","Accidental poisoning by lead and its compounds and fumes","C0261486",NA,"Approved",NA,NA
"ergometrine","DB01253","Postpartum Hemorrhage","C0032797",NA,"Approved",NA,NA
"ergotamine","DB00696","Migraine Disorders","C0149931",NA,"Approved",NA,NA
"ergotamine","DB00696","Vascular Headaches","C0042376",NA,"Approved",NA,NA
"ergotamine","DB00696","Cluster Headache","C0009088",NA,"Approved",NA,NA
"erlotinib","DB00530","Non-Small Cell Lung Carcinoma","C0007131",NA,"Approved",NA,NA
