,drugid,omimid
0,DB00575,607554
1,DB00575,607554
2,DB00575,607554
3,DB00575,607554
4,DB00575,171300
5,DB00575,171300
6,DB00575,171300
7,DB00575,171300
8,DB00575,102300
9,DB00575,102300
10,DB00575,102300
11,DB00575,102300
12,DB00575,137580
13,DB00575,137580
14,DB00575,137580
15,DB00575,137580
16,DB00575,147530
17,DB00575,147530
18,DB00575,147530
19,DB00575,147530
20,DB00575,601042
21,DB00575,601042
22,DB00575,601042
23,DB00575,601042
24,DB00575,608622
25,DB00575,608622
26,DB00575,608622
27,DB00575,608622
28,DB00575,161900
29,DB00575,161900
30,DB00575,161900
31,DB00575,161900
32,DB00575,143465
33,DB00575,143465
34,DB00575,143465
35,DB00575,143465
36,DB00575,144110
37,DB00575,144110
38,DB00575,144110
39,DB00575,144110
40,DB00909,607681
41,DB00909,607681
42,DB00909,607681
43,DB00909,607681
44,DB00909,607681
45,DB00909,607681
46,DB00909,239350
47,DB00909,239350
48,DB00909,239350
49,DB00909,239350
50,DB00909,239350
51,DB00909,239350
52,DB00909,190300
53,DB00909,190300
54,DB00909,190300
55,DB00909,190300
56,DB00909,190300
57,DB00909,190300
58,DB00909,600131
59,DB00909,600131
60,DB00909,600131
61,DB00909,600131
62,DB00909,600131
63,DB00909,600131
64,DB00909,607631
65,DB00909,607631
66,DB00909,607631
67,DB00909,607631
68,DB00909,607631
69,DB00909,607631
70,DB00909,604827
71,DB00909,604827
72,DB00909,604827
73,DB00909,604827
74,DB00909,604827
75,DB00909,604827
76,DB00909,608105
77,DB00909,608105
78,DB00909,608105
79,DB00909,608105
80,DB00909,608105
81,DB00909,608105
82,DB00909,208700
83,DB00909,208700
84,DB00909,208700
85,DB00909,208700
86,DB00909,208700
87,DB00909,208700
88,DB00909,607682
89,DB00909,607682
90,DB00909,607682
91,DB00909,607682
92,DB00909,607682
93,DB00909,607682
94,DB00909,300491
95,DB00909,300491
96,DB00909,300491
97,DB00909,300491
98,DB00909,300491
99,DB00909,300491
100,DB00909,217200
101,DB00909,217200
102,DB00909,217200
103,DB00909,217200
104,DB00909,217200
105,DB00909,217200
106,DB00909,607628
107,DB00909,607628
108,DB00909,607628
109,DB00909,607628
110,DB00909,607628
111,DB00909,607628
112,DB00909,267740
113,DB00909,267740
114,DB00909,267740
115,DB00909,267740
116,DB00909,267740
117,DB00909,267740
118,DB01143,276300
119,DB01143,276300
120,DB01143,276300
121,DB00332,210050
122,DB00332,210050
123,DB00332,208550
124,DB00332,208550
125,DB00332,600807
126,DB00332,600807
127,DB00443,603165
128,DB00443,151590
129,DB00443,133600
130,DB00443,125600
131,DB00176,164230
132,DB00176,164230
133,DB00176,167870
134,DB00176,167870
135,DB00302,134510
136,DB00302,134520
137,DB00302,134430
138,DB00302,227300
139,DB00302,134500
140,DB01202,607681
141,DB01202,607681
142,DB01202,607681
143,DB01202,607681
144,DB01202,607681
145,DB01202,607681
146,DB01202,607681
147,DB01202,607681
148,DB01202,239350
149,DB01202,239350
150,DB01202,239350
151,DB01202,239350
152,DB01202,239350
153,DB01202,239350
154,DB01202,239350
155,DB01202,239350
156,DB01202,600131
157,DB01202,600131
158,DB01202,600131
159,DB01202,600131
160,DB01202,600131
161,DB01202,600131
162,DB01202,600131
163,DB01202,600131
164,DB01202,607631
165,DB01202,607631
166,DB01202,607631
167,DB01202,607631
168,DB01202,607631
169,DB01202,607631
170,DB01202,607631
171,DB01202,607631
172,DB01202,604827
173,DB01202,604827
174,DB01202,604827
175,DB01202,604827
176,DB01202,604827
177,DB01202,604827
178,DB01202,604827
179,DB01202,604827
180,DB01202,608105
181,DB01202,608105
182,DB01202,608105
183,DB01202,608105
184,DB01202,608105
185,DB01202,608105
186,DB01202,608105
187,DB01202,608105
188,DB01202,607682
189,DB01202,607682
190,DB01202,607682
191,DB01202,607682
192,DB01202,607682
193,DB01202,607682
194,DB01202,607682
195,DB01202,607682
196,DB01202,300491
197,DB01202,300491
198,DB01202,300491
199,DB01202,300491
200,DB01202,300491
201,DB01202,300491
202,DB01202,300491
203,DB01202,300491
204,DB01202,217200
205,DB01202,217200
206,DB01202,217200
207,DB01202,217200
208,DB01202,217200
209,DB01202,217200
210,DB01202,217200
211,DB01202,217200
212,DB01202,607628
213,DB01202,607628
214,DB01202,607628
215,DB01202,607628
216,DB01202,607628
217,DB01202,607628
218,DB01202,607628
219,DB01202,607628
220,DB00334,300494
221,DB00334,300494
222,DB00334,300494
223,DB00334,300494
224,DB00334,300494
225,DB00334,300494
226,DB00334,300494
227,DB00334,300494
228,DB00334,300494
229,DB00334,300494
230,DB00334,300494
231,DB00334,300494
232,DB00334,300494
233,DB00334,300494
234,DB00334,300494
235,DB00334,164230
236,DB00334,164230
237,DB00334,164230
238,DB00334,164230
239,DB00334,164230
240,DB00334,164230
241,DB00334,164230
242,DB00334,164230
243,DB00334,164230
244,DB00334,164230
245,DB00334,164230
246,DB00334,164230
247,DB00334,164230
248,DB00334,164230
249,DB00334,164230
250,DB00334,181500
251,DB00334,181500
252,DB00334,181500
253,DB00334,181500
254,DB00334,181500
255,DB00334,181500
256,DB00334,181500
257,DB00334,181500
258,DB00334,181500
259,DB00334,181500
260,DB00334,181500
261,DB00334,181500
262,DB00334,181500
263,DB00334,181500
264,DB00334,181500
265,DB00776,607681
266,DB00776,607681
267,DB00776,600131
268,DB00776,600131
269,DB00776,607631
270,DB00776,607631
271,DB00776,604827
272,DB00776,604827
273,DB00776,608105
274,DB00776,608105
275,DB00776,208700
276,DB00776,208700
277,DB00776,607682
278,DB00776,607682
279,DB00776,300491
280,DB00776,300491
281,DB00776,217200
282,DB00776,217200
283,DB00776,607628
284,DB00776,607628
285,DB00776,267740
286,DB00776,267740
287,DB00631,247640
288,DB00631,247640
289,DB00631,247640
290,DB00631,247640
291,DB00631,247640
292,DB00631,247640
293,DB00631,247640
294,DB00631,247640
295,DB00631,247640
296,DB00631,247640
297,DB00262,276300
298,DB00262,276300
299,DB00262,276300
300,DB00262,276300
301,DB00262,276300
302,DB00262,276300
303,DB00262,276300
304,DB00262,276300
305,DB00262,276300
306,DB00262,137800
307,DB00262,137800
308,DB00262,137800
309,DB00262,137800
310,DB00262,137800
311,DB00262,137800
312,DB00262,137800
313,DB00262,137800
314,DB00262,137800
315,DB00262,109543
316,DB00262,109543
317,DB00262,109543
318,DB00262,109543
319,DB00262,109543
320,DB00262,109543
321,DB00262,109543
322,DB00262,109543
323,DB00262,109543
324,DB00262,267730
325,DB00262,267730
326,DB00262,267730
327,DB00262,267730
328,DB00262,267730
329,DB00262,267730
330,DB00262,267730
331,DB00262,267730
332,DB00262,267730
333,DB00262,247640
334,DB00262,247640
335,DB00262,247640
336,DB00262,247640
337,DB00262,247640
338,DB00262,247640
339,DB00262,247640
340,DB00262,247640
341,DB00262,247640
342,DB00262,236000
343,DB00262,236000
344,DB00262,236000
345,DB00262,236000
346,DB00262,236000
347,DB00262,236000
348,DB00262,236000
349,DB00262,236000
350,DB00262,236000
351,DB00262,254500
352,DB00262,254500
353,DB00262,254500
354,DB00262,254500
355,DB00262,254500
356,DB00262,254500
357,DB00262,254500
358,DB00262,254500
359,DB00262,254500
360,DB01109,540000
361,DB01109,540000
362,DB01109,540000
363,DB01109,540000
364,DB01109,540000
365,DB01109,540000
366,DB01109,540000
367,DB01109,540000
368,DB01109,540000
369,DB01109,540000
370,DB01109,125310
371,DB01109,125310
372,DB01109,125310
373,DB01109,125310
374,DB01109,125310
375,DB01109,125310
376,DB01109,125310
377,DB01109,125310
378,DB01109,125310
379,DB01109,125310
380,DB01109,601367
381,DB01109,601367
382,DB01109,601367
383,DB01109,601367
384,DB01109,601367
385,DB01109,601367
386,DB01109,601367
387,DB01109,601367
388,DB01109,601367
389,DB01109,601367
390,DB00630,102500
391,DB00630,102500
392,DB00630,102500
393,DB00630,102500
394,DB00630,102500
395,DB00630,102500
396,DB00630,102500
397,DB00630,102500
398,DB00630,150600
399,DB00630,150600
400,DB00630,150600
401,DB00630,150600
402,DB00630,150600
403,DB00630,150600
404,DB00630,150600
405,DB00630,150600
406,DB00630,166710
407,DB00630,166710
408,DB00630,166710
409,DB00630,166710
410,DB00630,166710
411,DB00630,166710
412,DB00630,166710
413,DB00630,166710
414,DB00630,602080
415,DB00630,602080
416,DB00630,602080
417,DB00630,602080
418,DB00630,602080
419,DB00630,602080
420,DB00630,602080
421,DB00630,602080
422,DB00630,167320
423,DB00630,167320
424,DB00630,167320
425,DB00630,167320
426,DB00630,167320
427,DB00630,167320
428,DB00630,167320
429,DB00630,167320
430,DB00586,607459
431,DB00586,607459
432,DB00586,607459
433,DB00586,607459
434,DB00586,607459
435,DB00586,150600
436,DB00586,150600
437,DB00586,150600
438,DB00586,150600
439,DB00586,150600
440,DB00586,208230
441,DB00586,208230
442,DB00586,208230
443,DB00586,208230
444,DB00586,208230
445,DB00586,308205
446,DB00586,308205
447,DB00586,308205
448,DB00586,308205
449,DB00586,308205
450,DB00586,147530
451,DB00586,147530
452,DB00586,147530
453,DB00586,147530
454,DB00586,147530
455,DB00586,106400
456,DB00586,106400
457,DB00586,106400
458,DB00586,106400
459,DB00586,106400
460,DB00586,140600
461,DB00586,140600
462,DB00586,140600
463,DB00586,140600
464,DB00586,140600
465,DB00586,607850
466,DB00586,607850
467,DB00586,607850
468,DB00586,607850
469,DB00586,607850
470,DB00586,165720
471,DB00586,165720
472,DB00586,165720
473,DB00586,165720
474,DB00586,165720
475,DB00122,607459
476,DB00122,607459
477,DB00122,607459
478,DB00122,208230
479,DB00122,208230
480,DB00122,208230
481,DB00122,147530
482,DB00122,147530
483,DB00122,147530
484,DB00122,140600
485,DB00122,140600
486,DB00122,140600
487,DB00122,607850
488,DB00122,607850
489,DB00122,607850
490,DB00122,165720
491,DB00122,165720
492,DB00122,165720
493,DB00540,252320
494,DB00540,252320
495,DB00540,147530
496,DB00540,147530
497,DB00540,600808
498,DB00540,600808
499,DB00540,167870
500,DB00540,167870
501,DB00540,600631
502,DB00540,600631
503,DB00540,143465
504,DB00540,143465
505,DB01005,276300
506,DB01005,276300
507,DB01005,276300
508,DB01005,276300
509,DB01005,276300
510,DB01005,276300
511,DB01005,263300
512,DB01005,263300
513,DB01005,263300
514,DB01005,263300
515,DB01005,263300
516,DB01005,263300
517,DB01005,144700
518,DB01005,144700
519,DB01005,144700
520,DB01005,144700
521,DB01005,144700
522,DB01005,144700
523,DB01005,155601
524,DB01005,155601
525,DB01005,155601
526,DB01005,155601
527,DB01005,155601
528,DB01005,155601
529,DB01005,155600
530,DB01005,155600
531,DB01005,155600
532,DB01005,155600
533,DB01005,155600
534,DB01005,155600
535,DB01005,187950
536,DB01005,187950
537,DB01005,187950
538,DB01005,187950
539,DB01005,187950
540,DB01005,187950
541,DB01005,605839
542,DB01005,605839
543,DB01005,605839
544,DB01005,605839
545,DB01005,605839
546,DB01005,605839
547,DB00773,276300
