,drugid,omimid,drug_name,ind_name,ind_id,NCT,status,phase,DetailedStatus
0,DB00843,605055,donepezil,Alzheimer's Disease,C0002395,NCT00602680,Terminated,Phase 2,Insufficient expected benefit risk
1,DB00843,605055,donepezil,Alzheimer's Disease,C0002395,NCT00672945,Terminated,Phase 2,
2,DB00843,605055,donepezil,Alzheimer's Disease,C0002395,NCT00693004,Terminated,Phase 2,
3,DB00843,605055,donepezil,Alzheimer's Disease,C0002395,NCT00704782,Terminated,Phase 2,The study was halted after a Phase 3 study of dimebon failed to show efficacy.
4,DB00843,605055,donepezil,Alzheimer's Disease,C0002395,NCT00713765,Terminated,Phase 1,Ended prematurely - The trial never commenced.
5,DB00843,605055,donepezil,Alzheimer's Disease,C0002395,NCT00874939,Terminated,Phase 1,
6,DB00843,605055,donepezil,Alzheimer's Disease,C0002395,NCT01712074,Terminated,Phase 2,"The study was terminated October 23, 2015 as pre-specified, interim analysis futility criteria
    were met. The termination was not due to safety concerns."
7,DB00843,605055,,Alzheimer's Disease,C0002395,NCT03316898,Withdrawn,Phase 1,Business decision to stop the study.
8,DB00843,125320,donepezil,Alzheimer's Disease,C0002395,NCT00602680,Terminated,Phase 2,Insufficient expected benefit risk
9,DB00843,125320,donepezil,Alzheimer's Disease,C0002395,NCT00672945,Terminated,Phase 2,
10,DB00843,125320,donepezil,Alzheimer's Disease,C0002395,NCT00693004,Terminated,Phase 2,
11,DB00843,125320,donepezil,Alzheimer's Disease,C0002395,NCT00704782,Terminated,Phase 2,The study was halted after a Phase 3 study of dimebon failed to show efficacy.
12,DB00843,125320,donepezil,Alzheimer's Disease,C0002395,NCT00713765,Terminated,Phase 1,Ended prematurely - The trial never commenced.
13,DB00843,125320,donepezil,Alzheimer's Disease,C0002395,NCT00874939,Terminated,Phase 1,
14,DB00843,125320,donepezil,Alzheimer's Disease,C0002395,NCT01712074,Terminated,Phase 2,"The study was terminated October 23, 2015 as pre-specified, interim analysis futility criteria
    were met. The termination was not due to safety concerns."
15,DB00843,125320,,Alzheimer's Disease,C0002395,NCT03316898,Withdrawn,Phase 1,Business decision to stop the study.
16,DB00843,104300,donepezil,Alzheimer's Disease,C0002395,NCT00602680,Terminated,Phase 2,Insufficient expected benefit risk
17,DB00843,104300,donepezil,Alzheimer's Disease,C0002395,NCT00672945,Terminated,Phase 2,
18,DB00843,104300,donepezil,Alzheimer's Disease,C0002395,NCT00693004,Terminated,Phase 2,
19,DB00843,104300,donepezil,Alzheimer's Disease,C0002395,NCT00704782,Terminated,Phase 2,The study was halted after a Phase 3 study of dimebon failed to show efficacy.
20,DB00843,104300,donepezil,Alzheimer's Disease,C0002395,NCT00713765,Terminated,Phase 1,Ended prematurely - The trial never commenced.
21,DB00843,104300,donepezil,Alzheimer's Disease,C0002395,NCT00874939,Terminated,Phase 1,
22,DB00843,104300,donepezil,Alzheimer's Disease,C0002395,NCT01712074,Terminated,Phase 2,"The study was terminated October 23, 2015 as pre-specified, interim analysis futility criteria
    were met. The termination was not due to safety concerns."
23,DB00843,104300,,Alzheimer's Disease,C0002395,NCT03316898,Withdrawn,Phase 1,Business decision to stop the study.
